,LeavePct,Administrative Occupations: Finance
Darlington,56.18,1067
Northumberland,54.11,3201
Sunderland,61.34,2858
Manchester,39.64,5510
Blackburn with Darwen,56.34,1755
Blackpool,67.46,1551
Warrington,54.27,3297
Cheshire East,51.18,6015
Cheshire West and Chester,50.68,8150
Liverpool,41.81,3141
Sefton,48.13,4447
Wirral,48.3,3623
"Kingston upon Hull, City of",67.62,2735
East Riding of Yorkshire,60.4,4561
York,41.96,2395
Sheffield,50.99,6427
Bradford,54.23,6963
Leeds,49.69,11368
Wakefield,66.36,2783
Derby,57.22,1579
Nottingham,50.84,3363
Leicester,48.92,4112
"Herefordshire, County of",59.22,2143
Telford and Wrekin,63.22,1965
Stoke-on-Trent,69.36,2694
Birmingham,50.42,8956
Solihull,56.16,3004
Coventry,55.6,3808
Dudley,67.6,3502
Sandwell,66.72,4146
Walsall,67.86,4691
Wolverhampton,62.57,3527
Luton,56.55,4018
Bedford,51.78,1705
Central Bedfordshire,56.13,5641
Southend-on-Sea,58.08,2199
Thurrock,72.28,2705
Westminster,31.03,3729
Wandsworth,24.97,5212
Tower Hamlets,32.54,4055
Lambeth,21.38,2008
Enfield,44.18,5251
Bromley,49.35,4804
Croydon,45.71,5337
Barnet,37.77,4553
Brent,40.26,5793
Ealing,39.6,4603
Milton Keynes,51.41,5849
Brighton and Hove,31.38,1786
Portsmouth,58.08,2454
Southampton,53.8,3067
Isle of Wight,61.95,1083
Medway,64.08,4398
"Bristol, City of",38.27,4841
Swindon,54.66,3165
Wiltshire,52.49,6999
Plymouth,59.94,2864
Torbay,63.16,934
Isle of Anglesey,50.94,779
Gwynedd,41.95,1258
Swansea,51.51,1712
Powys,53.74,1597
Scottish Borders,41.53,441
Falkirk,43.24,1715
West Lothian,41.75,3205
Glasgow City,33.41,11071
North Lanarkshire,38.34,4697
South Ayrshire,41.04,982
South Lanarkshire,36.92,5571
Orkney Islands,36.84,303
Shetland Islands,43.49,0
