,LeavePct,Administrative Occupations: Records
Darlington,56.18,975
Northumberland,54.11,764
Sunderland,61.34,1630
Manchester,39.64,2007
Blackburn with Darwen,56.34,606
Blackpool,67.46,1371
Warrington,54.27,1508
Cheshire East,51.18,4434
Cheshire West and Chester,50.68,1443
Liverpool,41.81,4120
Sefton,48.13,3997
Wirral,48.3,2017
"Kingston upon Hull, City of",67.62,1888
East Riding of Yorkshire,60.4,1574
York,41.96,1097
Sheffield,50.99,3314
Bradford,54.23,3203
Leeds,49.69,4022
Wakefield,66.36,2977
Derby,57.22,2442
Nottingham,50.84,3147
Leicester,48.92,1804
"Herefordshire, County of",59.22,823
Telford and Wrekin,63.22,1083
Stoke-on-Trent,69.36,2039
Birmingham,50.42,6205
Solihull,56.16,1504
Coventry,55.6,0
Dudley,67.6,1798
Sandwell,66.72,1694
Walsall,67.86,1282
Wolverhampton,62.57,1778
Luton,56.55,1859
Bedford,51.78,908
Central Bedfordshire,56.13,885
Southend-on-Sea,58.08,1344
Thurrock,72.28,2180
Westminster,31.03,1323
Wandsworth,24.97,2619
Tower Hamlets,32.54,2671
Lambeth,21.38,3487
Enfield,44.18,0
Bromley,49.35,1523
Croydon,45.71,2920
Barnet,37.77,0
Brent,40.26,2487
Ealing,39.6,1766
Milton Keynes,51.41,1963
Brighton and Hove,31.38,2171
Portsmouth,58.08,1431
Southampton,53.8,2000
Isle of Wight,61.95,353
Medway,64.08,2712
"Bristol, City of",38.27,4481
Swindon,54.66,1072
Wiltshire,52.49,2356
Plymouth,59.94,1138
Torbay,63.16,604
Isle of Anglesey,50.94,135
Gwynedd,41.95,594
Swansea,51.51,1121
Powys,53.74,546
Scottish Borders,41.53,377
Falkirk,43.24,643
West Lothian,41.75,1432
Glasgow City,33.41,3885
North Lanarkshire,38.34,1894
South Ayrshire,41.04,426
South Lanarkshire,36.92,2315
Orkney Islands,36.84,0
Shetland Islands,43.49,527
