,LeavePct,Childcare and Related Personal Services
Darlington,56.18,936
Northumberland,54.11,3705
Sunderland,61.34,2445
Manchester,39.64,6815
Blackburn with Darwen,56.34,1963
Blackpool,67.46,1140
Warrington,54.27,2572
Cheshire East,51.18,3137
Cheshire West and Chester,50.68,1667
Liverpool,41.81,4404
Sefton,48.13,2596
Wirral,48.3,2920
"Kingston upon Hull, City of",67.62,4165
East Riding of Yorkshire,60.4,3419
York,41.96,1968
Sheffield,50.99,6751
Bradford,54.23,8903
Leeds,49.69,12684
Wakefield,66.36,3592
Derby,57.22,3044
Nottingham,50.84,3974
Leicester,48.92,3784
"Herefordshire, County of",59.22,1923
Telford and Wrekin,63.22,1772
Stoke-on-Trent,69.36,2143
Birmingham,50.42,12948
Solihull,56.16,2606
Coventry,55.6,4785
Dudley,67.6,4310
Sandwell,66.72,3592
Walsall,67.86,3775
Wolverhampton,62.57,2519
Luton,56.55,2685
Bedford,51.78,2633
Central Bedfordshire,56.13,4186
Southend-on-Sea,58.08,2389
Thurrock,72.28,2696
Westminster,31.03,2118
Wandsworth,24.97,5995
Tower Hamlets,32.54,6498
Lambeth,21.38,5125
Enfield,44.18,7385
Bromley,49.35,6957
Croydon,45.71,4419
Barnet,37.77,5847
Brent,40.26,1278
Ealing,39.6,3100
Milton Keynes,51.41,2889
Brighton and Hove,31.38,4865
Portsmouth,58.08,3675
Southampton,53.8,2761
Isle of Wight,61.95,1612
Medway,64.08,2888
"Bristol, City of",38.27,5914
Swindon,54.66,2616
Wiltshire,52.49,7848
Plymouth,59.94,4132
Torbay,63.16,1712
Isle of Anglesey,50.94,787
Gwynedd,41.95,1525
Swansea,51.51,2687
Powys,53.74,973
Scottish Borders,41.53,1447
Falkirk,43.24,1901
West Lothian,41.75,2343
Glasgow City,33.41,1537
North Lanarkshire,38.34,2289
South Ayrshire,41.04,1078
South Lanarkshire,36.92,2819
Orkney Islands,36.84,0
Shetland Islands,43.49,380
