,LeavePct,Design Occupations
Darlington,56.18,0
Northumberland,54.11,857
Sunderland,61.34,0
Manchester,39.64,3355
Blackburn with Darwen,56.34,0
Blackpool,67.46,0
Warrington,54.27,0
Cheshire East,51.18,0
Cheshire West and Chester,50.68,0
Liverpool,41.81,1617
Sefton,48.13,645
Wirral,48.3,0
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,1132
York,41.96,654
Sheffield,50.99,1895
Bradford,54.23,0
Leeds,49.69,2379
Wakefield,66.36,0
Derby,57.22,0
Nottingham,50.84,1042
Leicester,48.92,784
"Herefordshire, County of",59.22,618
Telford and Wrekin,63.22,463
Stoke-on-Trent,69.36,623
Birmingham,50.42,0
Solihull,56.16,397
Coventry,55.6,0
Dudley,67.6,0
Sandwell,66.72,0
Walsall,67.86,0
Wolverhampton,62.57,0
Luton,56.55,0
Bedford,51.78,1229
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,718
Thurrock,72.28,400
Westminster,31.03,1138
Wandsworth,24.97,2046
Tower Hamlets,32.54,2201
Lambeth,21.38,1756
Enfield,44.18,0
Bromley,49.35,1018
Croydon,45.71,1857
Barnet,37.77,1407
Brent,40.26,1432
Ealing,39.6,0
Milton Keynes,51.41,823
Brighton and Hove,31.38,1987
Portsmouth,58.08,495
Southampton,53.8,0
Isle of Wight,61.95,294
Medway,64.08,665
"Bristol, City of",38.27,1188
Swindon,54.66,0
Wiltshire,52.49,701
Plymouth,59.94,0
Torbay,63.16,0
Isle of Anglesey,50.94,0
Gwynedd,41.95,247
Swansea,51.51,759
Powys,53.74,214
Scottish Borders,41.53,266
Falkirk,43.24,371
West Lothian,41.75,0
Glasgow City,33.41,2466
North Lanarkshire,38.34,0
South Ayrshire,41.04,0
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
