Area,Happiness,LeavePct
Barking and Dagenham,7.38,62.44
Barnet,7.63,37.77
Bexley,7.45,62.95
Brent,7.59,40.26
Bromley,7.34,49.35
Camden,7.35,25.06
Croydon,7.61,45.71
Ealing,7.35,39.6
Enfield,7.23,44.18
Greenwich,7.27,44.41
Hackney,7.1,21.52
Hammersmith and Fulham,7.43,29.98
Haringey,7.38,24.43
Harrow,7.72,45.37
Havering,7.44,69.66
Hillingdon,7.36,56.37
Hounslow,7.91,48.94
Islington,7.31,24.78
Kensington and Chelsea,7.52,31.31
Kingston upon Thames,7.58,38.39
Lambeth,7.21,21.38
Lewisham,7.25,30.14
Merton,7.66,37.06
Newham,7.54,47.16
Redbridge,7.53,46.03
Richmond upon Thames,7.58,30.71
Southwark,7.33,27.19
Sutton,7.54,53.72
Tower Hamlets,7.55,32.54
Waltham Forest,7.62,40.9
Wandsworth,7.55,24.97
Westminster,7.56,31.03
