,LeavePct,Health Professionals
Darlington,56.18,902
Northumberland,54.11,2243
Sunderland,61.34,1445
Manchester,39.64,7636
Blackburn with Darwen,56.34,1265
Blackpool,67.46,477
Warrington,54.27,2585
Cheshire East,51.18,4811
Cheshire West and Chester,50.68,2744
Liverpool,41.81,4539
Sefton,48.13,2156
Wirral,48.3,3243
"Kingston upon Hull, City of",67.62,1221
East Riding of Yorkshire,60.4,2614
York,41.96,1843
Sheffield,50.99,8639
Bradford,54.23,2663
Leeds,49.69,10686
Wakefield,66.36,3193
Derby,57.22,1158
Nottingham,50.84,2220
Leicester,48.92,1567
"Herefordshire, County of",59.22,1243
Telford and Wrekin,63.22,352
Stoke-on-Trent,69.36,1093
Birmingham,50.42,8491
Solihull,56.16,2708
Coventry,55.6,1676
Dudley,67.6,1087
Sandwell,66.72,917
Walsall,67.86,793
Wolverhampton,62.57,816
Luton,56.55,1002
Bedford,51.78,2826
Central Bedfordshire,56.13,2364
Southend-on-Sea,58.08,0
Thurrock,72.28,706
Westminster,31.03,2569
Wandsworth,24.97,2970
Tower Hamlets,32.54,2510
Lambeth,21.38,5166
Enfield,44.18,2569
Bromley,49.35,3127
Croydon,45.71,3516
Barnet,37.77,3612
Brent,40.26,2421
Ealing,39.6,2612
Milton Keynes,51.41,819
Brighton and Hove,31.38,2934
Portsmouth,58.08,537
Southampton,53.8,2499
Isle of Wight,61.95,734
Medway,64.08,0
"Bristol, City of",38.27,6751
Swindon,54.66,0
Wiltshire,52.49,3701
Plymouth,59.94,1732
Torbay,63.16,446
Isle of Anglesey,50.94,618
Gwynedd,41.95,850
Swansea,51.51,3138
Powys,53.74,453
Scottish Borders,41.53,681
Falkirk,43.24,911
West Lothian,41.75,1778
Glasgow City,33.41,5979
North Lanarkshire,38.34,1694
South Ayrshire,41.04,1025
South Lanarkshire,36.92,2399
Orkney Islands,36.84,0
Shetland Islands,43.49,0
