,LeavePct,Managers and Proprietors in Other Services
Darlington,56.18,957
Northumberland,54.11,1606
Sunderland,61.34,878
Manchester,39.64,5866
Blackburn with Darwen,56.34,1213
Blackpool,67.46,1616
Warrington,54.27,2318
Cheshire East,51.18,2109
Cheshire West and Chester,50.68,3344
Liverpool,41.81,3487
Sefton,48.13,2462
Wirral,48.3,2062
"Kingston upon Hull, City of",67.62,457
East Riding of Yorkshire,60.4,2335
York,41.96,1627
Sheffield,50.99,6539
Bradford,54.23,5357
Leeds,49.69,4748
Wakefield,66.36,2573
Derby,57.22,1526
Nottingham,50.84,1151
Leicester,48.92,2310
"Herefordshire, County of",59.22,2449
Telford and Wrekin,63.22,1258
Stoke-on-Trent,69.36,1017
Birmingham,50.42,4713
Solihull,56.16,2492
Coventry,55.6,2408
Dudley,67.6,1468
Sandwell,66.72,1033
Walsall,67.86,3288
Wolverhampton,62.57,1346
Luton,56.55,1277
Bedford,51.78,0
Central Bedfordshire,56.13,1086
Southend-on-Sea,58.08,2485
Thurrock,72.28,1475
Westminster,31.03,2394
Wandsworth,24.97,2727
Tower Hamlets,32.54,1319
Lambeth,21.38,6221
Enfield,44.18,5355
Bromley,49.35,2653
Croydon,45.71,4032
Barnet,37.77,6255
Brent,40.26,3843
Ealing,39.6,3101
Milton Keynes,51.41,2781
Brighton and Hove,31.38,1771
Portsmouth,58.08,981
Southampton,53.8,1634
Isle of Wight,61.95,998
Medway,64.08,1847
"Bristol, City of",38.27,2178
Swindon,54.66,1367
Wiltshire,52.49,8227
Plymouth,59.94,1983
Torbay,63.16,1382
Isle of Anglesey,50.94,1056
Gwynedd,41.95,1460
Swansea,51.51,2052
Powys,53.74,2280
Scottish Borders,41.53,844
Falkirk,43.24,1060
West Lothian,41.75,1026
Glasgow City,33.41,1545
North Lanarkshire,38.34,2225
South Ayrshire,41.04,509
South Lanarkshire,36.92,1373
Orkney Islands,36.84,373
Shetland Islands,43.49,0
