,LeavePct,Natural and Social Science Professionals
Darlington,56.18,158
Northumberland,54.11,480
Sunderland,61.34,741
Manchester,39.64,1599
Blackburn with Darwen,56.34,0
Blackpool,67.46,0
Warrington,54.27,940
Cheshire East,51.18,1863
Cheshire West and Chester,50.68,0
Liverpool,41.81,2764
Sefton,48.13,0
Wirral,48.3,697
"Kingston upon Hull, City of",67.62,1589
East Riding of Yorkshire,60.4,825
York,41.96,1143
Sheffield,50.99,2683
Bradford,54.23,1826
Leeds,49.69,1424
Wakefield,66.36,0
Derby,57.22,569
Nottingham,50.84,1087
Leicester,48.92,1029
"Herefordshire, County of",59.22,304
Telford and Wrekin,63.22,320
Stoke-on-Trent,69.36,0
Birmingham,50.42,3868
Solihull,56.16,0
Coventry,55.6,915
Dudley,67.6,0
Sandwell,66.72,996
Walsall,67.86,472
Wolverhampton,62.57,420
Luton,56.55,0
Bedford,51.78,0
Central Bedfordshire,56.13,2363
Southend-on-Sea,58.08,0
Thurrock,72.28,0
Westminster,31.03,0
Wandsworth,24.97,1514
Tower Hamlets,32.54,0
Lambeth,21.38,1680
Enfield,44.18,0
Bromley,49.35,1136
Croydon,45.71,0
Barnet,37.77,2183
Brent,40.26,1831
Ealing,39.6,1075
Milton Keynes,51.41,813
Brighton and Hove,31.38,698
Portsmouth,58.08,0
Southampton,53.8,1718
Isle of Wight,61.95,260
Medway,64.08,0
"Bristol, City of",38.27,2866
Swindon,54.66,0
Wiltshire,52.49,1819
Plymouth,59.94,708
Torbay,63.16,301
Isle of Anglesey,50.94,352
Gwynedd,41.95,272
Swansea,51.51,1303
Powys,53.74,0
Scottish Borders,41.53,347
Falkirk,43.24,0
West Lothian,41.75,364
Glasgow City,33.41,5356
North Lanarkshire,38.34,0
South Ayrshire,41.04,0
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
