,LeavePct,Other Elementary Services Occupations
Darlington,56.18,2205
Northumberland,54.11,4711
Sunderland,61.34,5551
Manchester,39.64,11341
Blackburn with Darwen,56.34,1713
Blackpool,67.46,2153
Warrington,54.27,2642
Cheshire East,51.18,4208
Cheshire West and Chester,50.68,5363
Liverpool,41.81,8271
Sefton,48.13,5160
Wirral,48.3,3214
"Kingston upon Hull, City of",67.62,4984
East Riding of Yorkshire,60.4,4307
York,41.96,5468
Sheffield,50.99,10159
Bradford,54.23,5941
Leeds,49.69,9726
Wakefield,66.36,5049
Derby,57.22,3611
Nottingham,50.84,3727
Leicester,48.92,3780
"Herefordshire, County of",59.22,2170
Telford and Wrekin,63.22,2563
Stoke-on-Trent,69.36,4395
Birmingham,50.42,17865
Solihull,56.16,1853
Coventry,55.6,4346
Dudley,67.6,4537
Sandwell,66.72,4995
Walsall,67.86,3156
Wolverhampton,62.57,3282
Luton,56.55,2115
Bedford,51.78,2590
Central Bedfordshire,56.13,3416
Southend-on-Sea,58.08,2370
Thurrock,72.28,2607
Westminster,31.03,3599
Wandsworth,24.97,3398
Tower Hamlets,32.54,6512
Lambeth,21.38,4914
Enfield,44.18,5393
Bromley,49.35,3522
Croydon,45.71,6361
Barnet,37.77,5556
Brent,40.26,5548
Ealing,39.6,9644
Milton Keynes,51.41,2213
Brighton and Hove,31.38,6152
Portsmouth,58.08,4497
Southampton,53.8,7277
Isle of Wight,61.95,2974
Medway,64.08,2403
"Bristol, City of",38.27,5068
Swindon,54.66,4284
Wiltshire,52.49,11089
Plymouth,59.94,5054
Torbay,63.16,2758
Isle of Anglesey,50.94,1196
Gwynedd,41.95,3806
Swansea,51.51,5285
Powys,53.74,1722
Scottish Borders,41.53,1774
Falkirk,43.24,2715
West Lothian,41.75,3072
Glasgow City,33.41,13897
North Lanarkshire,38.34,4775
South Ayrshire,41.04,2447
South Lanarkshire,36.92,5693
Orkney Islands,36.84,727
Shetland Islands,43.49,212
