,LeavePct,Sales Assistants and Retail Cashiers
Darlington,56.18,2649
Northumberland,54.11,6507
Sunderland,61.34,8019
Manchester,39.64,12231
Blackburn with Darwen,56.34,2616
Blackpool,67.46,3871
Warrington,54.27,5280
Cheshire East,51.18,7133
Cheshire West and Chester,50.68,5132
Liverpool,41.81,11965
Sefton,48.13,6769
Wirral,48.3,7892
"Kingston upon Hull, City of",67.62,8151
East Riding of Yorkshire,60.4,5860
York,41.96,5629
Sheffield,50.99,12442
Bradford,54.23,8096
Leeds,49.69,26298
Wakefield,66.36,6869
Derby,57.22,6636
Nottingham,50.84,7170
Leicester,48.92,5739
"Herefordshire, County of",59.22,3958
Telford and Wrekin,63.22,4252
Stoke-on-Trent,69.36,5371
Birmingham,50.42,18229
Solihull,56.16,4014
Coventry,55.6,5227
Dudley,67.6,9321
Sandwell,66.72,6591
Walsall,67.86,5387
Wolverhampton,62.57,5490
Luton,56.55,3992
Bedford,51.78,3667
Central Bedfordshire,56.13,5361
Southend-on-Sea,58.08,3181
Thurrock,72.28,4721
Westminster,31.03,4509
Wandsworth,24.97,4055
Tower Hamlets,32.54,7238
Lambeth,21.38,5743
Enfield,44.18,10509
Bromley,49.35,3882
Croydon,45.71,8265
Barnet,37.77,6848
Brent,40.26,8124
Ealing,39.6,6419
Milton Keynes,51.41,9023
Brighton and Hove,31.38,5466
Portsmouth,58.08,3999
Southampton,53.8,5988
Isle of Wight,61.95,4519
Medway,64.08,6369
"Bristol, City of",38.27,12905
Swindon,54.66,6733
Wiltshire,52.49,10579
Plymouth,59.94,7107
Torbay,63.16,4131
Isle of Anglesey,50.94,1115
Gwynedd,41.95,3108
Swansea,51.51,5155
Powys,53.74,2487
Scottish Borders,41.53,2227
Falkirk,43.24,3977
West Lothian,41.75,4734
Glasgow City,33.41,11037
North Lanarkshire,38.34,9798
South Ayrshire,41.04,2882
South Lanarkshire,36.92,7744
Orkney Islands,36.84,392
Shetland Islands,43.49,729
