,LeavePct,Welfare and Housing Associate Professionals
Darlington,56.18,560
Northumberland,54.11,2021
Sunderland,61.34,1231
Manchester,39.64,3994
Blackburn with Darwen,56.34,887
Blackpool,67.46,617
Warrington,54.27,1119
Cheshire East,51.18,1283
Cheshire West and Chester,50.68,0
Liverpool,41.81,4478
Sefton,48.13,1398
Wirral,48.3,660
"Kingston upon Hull, City of",67.62,955
East Riding of Yorkshire,60.4,1588
York,41.96,1121
Sheffield,50.99,4137
Bradford,54.23,4523
Leeds,49.69,4838
Wakefield,66.36,540
Derby,57.22,961
Nottingham,50.84,929
Leicester,48.92,2111
"Herefordshire, County of",59.22,246
Telford and Wrekin,63.22,627
Stoke-on-Trent,69.36,2238
Birmingham,50.42,2566
Solihull,56.16,725
Coventry,55.6,1325
Dudley,67.6,2464
Sandwell,66.72,1557
Walsall,67.86,1161
Wolverhampton,62.57,1649
Luton,56.55,1026
Bedford,51.78,1259
Central Bedfordshire,56.13,1728
Southend-on-Sea,58.08,753
Thurrock,72.28,640
Westminster,31.03,0
Wandsworth,24.97,2840
Tower Hamlets,32.54,1174
Lambeth,21.38,1621
Enfield,44.18,1089
Bromley,49.35,1657
Croydon,45.71,2347
Barnet,37.77,1806
Brent,40.26,1791
Ealing,39.6,975
Milton Keynes,51.41,1295
Brighton and Hove,31.38,4350
Portsmouth,58.08,744
Southampton,53.8,455
Isle of Wight,61.95,720
Medway,64.08,1181
"Bristol, City of",38.27,3336
Swindon,54.66,889
Wiltshire,52.49,1772
Plymouth,59.94,1160
Torbay,63.16,532
Isle of Anglesey,50.94,335
Gwynedd,41.95,642
Swansea,51.51,572
Powys,53.74,488
Scottish Borders,41.53,836
Falkirk,43.24,603
West Lothian,41.75,358
Glasgow City,33.41,5280
North Lanarkshire,38.34,1745
South Ayrshire,41.04,758
South Lanarkshire,36.92,1679
Orkney Islands,36.84,500
Shetland Islands,43.49,0
