Region name,LeavePct,"2015(Table 1: Gross Value Added (Balanced)1,2 at current basic prices)"
Barnet,37.77,9761
Bedford,51.78,3935
Birmingham,50.42,24892
Blackburn with Darwen,56.34,2775
Blackpool,67.46,2259
Bradford,54.23,9654
Brent,40.26,8141
Brighton and Hove,31.38,7405
"Bristol, City of",38.27,13807
Bromley,49.35,7110
Central Bedfordshire,56.13,5421
Cheshire East,51.18,12213
Cheshire West and Chester,50.68,9235
City of Edinburgh,25.56,20418
Coventry,55.6,8268
Croydon,45.71,7397
Darlington,56.18,2773
Derby,57.22,6643
Dudley,67.6,4897
Dumfries and Galloway,46.94,2424
Ealing,39.6,9039
East Riding of Yorkshire,60.4,6067
Enfield,44.18,6082
Falkirk,43.24,3318
Glasgow City,33.41,18303
Gwynedd,41.95,2307
"Herefordshire, County of",59.22,3701
Isle of Anglesey,50.94,948
Isle of Wight,61.95,2698
"Kingston upon Hull, City of",67.62,5177
Lambeth,21.38,11149
Leeds,49.69,21779
Leicester,48.92,7698
Liverpool,41.81,11453
Luton,56.55,5015
Manchester,39.64,17562
Medway,64.08,5039
Milton Keynes,51.41,11538
North Lanarkshire,38.34,5941
Northumberland,54.11,5029
Nottingham,50.84,8754
Orkney Islands,36.84,496
Plymouth,59.94,4967
Portsmouth,58.08,5375
Powys,53.74,2308
Sandwell,66.72,5726
Scottish Borders,41.53,1742
Sefton,48.13,4221
Sheffield,50.99,11438
Shetland Islands,43.49,762
Solihull,56.16,6820
South Ayrshire,41.04,2000
South Lanarkshire,36.92,4966
Southampton,53.8,6426
Southend-on-Sea,58.08,3060
Stoke-on-Trent,69.36,5008
Sunderland,61.34,5868
Swansea,51.51,4509
Swindon,54.66,6872
Telford and Wrekin,63.22,3730
Thurrock,72.28,3244
Torbay,63.16,2021
Tower Hamlets,32.54,27249
Wakefield,66.36,6814
Walsall,67.86,4661
Wandsworth,24.97,12516
Warrington,54.27,6251
West Lothian,41.75,3959
Westminster,31.03,55833
Wiltshire,52.49,10548
Wirral,48.3,4803
Wolverhampton,62.57,4528
York,41.96,4867
